sport,tournament,year,team_player,decimal_odds,implied_prob_raw,implied_prob,outcome
fifa,world_cup,1998,Brazil,3.5,0.28571,0.22794,0
fifa,world_cup,1998,France,7.0,0.14286,0.11397,1
fifa,world_cup,1998,Germany,6.5,0.15385,0.12274,0
fifa,world_cup,1998,Italy,7.5,0.13333,0.10637,0
fifa,world_cup,1998,Argentina,8.0,0.125,0.09973,0
fifa,world_cup,1998,England,11.0,0.09091,0.07253,0
fifa,world_cup,1998,Spain,11.0,0.09091,0.07253,0
fifa,world_cup,1998,Netherlands,13.0,0.07692,0.06137,0
fifa,world_cup,1998,Romania,21.0,0.04762,0.03799,0
fifa,world_cup,1998,Nigeria,26.0,0.03846,0.03068,0
fifa,world_cup,1998,Colombia,34.0,0.02941,0.02346,0
fifa,world_cup,1998,Yugoslavia,26.0,0.03846,0.03068,0
fifa,world_cup,2002,France,4.5,0.22222,0.19798,0
fifa,world_cup,2002,Argentina,5.0,0.2,0.17818,0
fifa,world_cup,2002,Brazil,6.0,0.16667,0.14848,1
fifa,world_cup,2002,Italy,8.0,0.125,0.11136,0
fifa,world_cup,2002,England,9.0,0.11111,0.09899,0
fifa,world_cup,2002,Germany,14.0,0.07143,0.06364,0
fifa,world_cup,2002,Spain,11.0,0.09091,0.08099,0
fifa,world_cup,2002,Portugal,17.0,0.05882,0.05241,0
fifa,world_cup,2002,Netherlands,51.0,0.01961,0.01747,0
fifa,world_cup,2002,Japan,67.0,0.01493,0.0133,0
fifa,world_cup,2002,South Korea,81.0,0.01235,0.011,0
fifa,world_cup,2002,Mexico,34.0,0.02941,0.0262,0
fifa,world_cup,2006,Brazil,3.25,0.30769,0.28616,0
fifa,world_cup,2006,England,7.5,0.13333,0.124,0
fifa,world_cup,2006,Germany,8.0,0.125,0.11625,0
fifa,world_cup,2006,Italy,10.0,0.1,0.093,1
fifa,world_cup,2006,Argentina,8.5,0.11765,0.10941,0
fifa,world_cup,2006,France,13.0,0.07692,0.07154,0
fifa,world_cup,2006,Spain,13.0,0.07692,0.07154,0
fifa,world_cup,2006,Netherlands,17.0,0.05882,0.05471,0
fifa,world_cup,2006,Portugal,29.0,0.03448,0.03207,0
fifa,world_cup,2006,Czech Rep.,51.0,0.01961,0.01824,0
fifa,world_cup,2006,Mexico,67.0,0.01493,0.01388,0
fifa,world_cup,2006,USA,101.0,0.0099,0.00921,0
fifa,world_cup,2010,Spain,5.5,0.18182,0.17675,1
fifa,world_cup,2010,Brazil,5.0,0.2,0.19443,0
fifa,world_cup,2010,England,7.5,0.13333,0.12962,0
fifa,world_cup,2010,Argentina,8.0,0.125,0.12152,0
fifa,world_cup,2010,Germany,13.0,0.07692,0.07478,0
fifa,world_cup,2010,Italy,17.0,0.05882,0.05718,0
fifa,world_cup,2010,Netherlands,13.0,0.07692,0.07478,0
fifa,world_cup,2010,France,19.0,0.05263,0.05116,0
fifa,world_cup,2010,Portugal,23.0,0.04348,0.04227,0
fifa,world_cup,2010,Ivory Coast,36.0,0.02778,0.027,0
fifa,world_cup,2010,Mexico,67.0,0.01493,0.01451,0
fifa,world_cup,2010,USA,81.0,0.01235,0.012,0
fifa,world_cup,2010,Uruguay,81.0,0.01235,0.012,0
fifa,world_cup,2010,Ghana,81.0,0.01235,0.012,0
fifa,world_cup,2014,Brazil,3.5,0.28571,0.25028,0
fifa,world_cup,2014,Argentina,5.0,0.2,0.17519,0
fifa,world_cup,2014,Germany,6.5,0.15385,0.13477,1
fifa,world_cup,2014,Spain,7.0,0.14286,0.12514,0
fifa,world_cup,2014,Belgium,15.0,0.06667,0.0584,0
fifa,world_cup,2014,Netherlands,21.0,0.04762,0.04171,0
fifa,world_cup,2014,France,21.0,0.04762,0.04171,0
fifa,world_cup,2014,Italy,26.0,0.03846,0.03369,0
fifa,world_cup,2014,England,29.0,0.03448,0.03021,0
fifa,world_cup,2014,Portugal,29.0,0.03448,0.03021,0
fifa,world_cup,2014,Colombia,34.0,0.02941,0.02576,0
fifa,world_cup,2014,Uruguay,34.0,0.02941,0.02576,0
fifa,world_cup,2014,Chile,41.0,0.02439,0.02137,0
fifa,world_cup,2014,USA,151.0,0.00662,0.0058,0
fifa,world_cup,2018,Brazil,5.0,0.2,0.18802,0
fifa,world_cup,2018,Germany,5.5,0.18182,0.17093,0
fifa,world_cup,2018,Spain,7.0,0.14286,0.1343,0
fifa,world_cup,2018,France,7.5,0.13333,0.12535,1
fifa,world_cup,2018,Argentina,10.0,0.1,0.09401,0
fifa,world_cup,2018,Belgium,12.0,0.08333,0.07834,0
fifa,world_cup,2018,England,17.0,0.05882,0.0553,0
fifa,world_cup,2018,Portugal,26.0,0.03846,0.03616,0
fifa,world_cup,2018,Uruguay,34.0,0.02941,0.02765,0
fifa,world_cup,2018,Croatia,34.0,0.02941,0.02765,0
fifa,world_cup,2018,Colombia,41.0,0.02439,0.02293,0
fifa,world_cup,2018,Poland,51.0,0.01961,0.01843,0
fifa,world_cup,2018,Mexico,81.0,0.01235,0.01161,0
fifa,world_cup,2018,Russia,101.0,0.0099,0.00931,0
fifa,world_cup,2022,Brazil,4.5,0.22222,0.18757,0
fifa,world_cup,2022,France,6.0,0.16667,0.14068,0
fifa,world_cup,2022,England,8.0,0.125,0.10551,0
fifa,world_cup,2022,Argentina,8.5,0.11765,0.0993,1
fifa,world_cup,2022,Spain,10.0,0.1,0.08441,0
fifa,world_cup,2022,Germany,11.0,0.09091,0.07673,0
fifa,world_cup,2022,Netherlands,11.0,0.09091,0.07673,0
fifa,world_cup,2022,Portugal,13.0,0.07692,0.06493,0
fifa,world_cup,2022,Belgium,13.0,0.07692,0.06493,0
fifa,world_cup,2022,Uruguay,26.0,0.03846,0.03246,0
fifa,world_cup,2022,Denmark,34.0,0.02941,0.02483,0
fifa,world_cup,2022,Croatia,41.0,0.02439,0.02059,0
fifa,world_cup,2022,USA,126.0,0.00794,0.0067,0
fifa,world_cup,2022,Mexico,81.0,0.01235,0.01042,0
fifa,world_cup,2022,Morocco,201.0,0.00498,0.0042,0
fifa,euros,2008,Germany,6.0,0.16667,0.17495,0
fifa,euros,2008,Italy,7.0,0.14286,0.14996,0
fifa,euros,2008,France,7.5,0.13333,0.13996,0
fifa,euros,2008,Spain,7.5,0.13333,0.13996,1
fifa,euros,2008,Portugal,9.0,0.11111,0.11664,0
fifa,euros,2008,Netherlands,11.0,0.09091,0.09543,0
fifa,euros,2008,Croatia,21.0,0.04762,0.04999,0
fifa,euros,2008,Czech Rep.,26.0,0.03846,0.04037,0
fifa,euros,2008,Greece,34.0,0.02941,0.03087,0
fifa,euros,2008,Sweden,41.0,0.02439,0.0256,0
fifa,euros,2008,Russia,51.0,0.01961,0.02058,0
fifa,euros,2008,Turkey,67.0,0.01493,0.01567,0
fifa,euros,2012,Spain,4.5,0.22222,0.22015,1
fifa,euros,2012,Germany,4.0,0.25,0.24766,0
fifa,euros,2012,Netherlands,8.0,0.125,0.12383,0
fifa,euros,2012,England,13.0,0.07692,0.0762,0
fifa,euros,2012,Italy,15.0,0.06667,0.06604,0
fifa,euros,2012,France,11.0,0.09091,0.09006,0
fifa,euros,2012,Portugal,17.0,0.05882,0.05827,0
fifa,euros,2012,Russia,21.0,0.04762,0.04717,0
fifa,euros,2012,Croatia,34.0,0.02941,0.02914,0
fifa,euros,2012,Sweden,51.0,0.01961,0.01942,0
fifa,euros,2012,Greece,101.0,0.0099,0.00981,0
fifa,euros,2012,Ukraine,81.0,0.01235,0.01223,0
fifa,euros,2016,Germany,5.0,0.2,0.20003,0
fifa,euros,2016,France,4.5,0.22222,0.22226,0
fifa,euros,2016,Spain,6.5,0.15385,0.15387,0
fifa,euros,2016,England,11.0,0.09091,0.09092,0
fifa,euros,2016,Belgium,11.0,0.09091,0.09092,0
fifa,euros,2016,Italy,15.0,0.06667,0.06668,0
fifa,euros,2016,Portugal,23.0,0.04348,0.04349,1
fifa,euros,2016,Croatia,23.0,0.04348,0.04349,0
fifa,euros,2016,Poland,34.0,0.02941,0.02942,0
fifa,euros,2016,Russia,34.0,0.02941,0.02942,0
fifa,euros,2016,Switzerland,51.0,0.01961,0.01961,0
fifa,euros,2016,Wales,101.0,0.0099,0.0099,0
fifa,euros,2020,France,5.5,0.18182,0.16336,0
fifa,euros,2020,England,6.0,0.16667,0.14975,0
fifa,euros,2020,Belgium,7.0,0.14286,0.12835,0
fifa,euros,2020,Germany,8.0,0.125,0.11231,0
fifa,euros,2020,Spain,9.0,0.11111,0.09983,0
fifa,euros,2020,Portugal,9.0,0.11111,0.09983,0
fifa,euros,2020,Netherlands,11.0,0.09091,0.08168,0
fifa,euros,2020,Italy,11.0,0.09091,0.08168,1
fifa,euros,2020,Croatia,26.0,0.03846,0.03456,0
fifa,euros,2020,Denmark,51.0,0.01961,0.01762,0
fifa,euros,2020,Switzerland,51.0,0.01961,0.01762,0
fifa,euros,2020,Poland,67.0,0.01493,0.01341,0
fifa,euros,2024,France,4.5,0.22222,0.19247,0
fifa,euros,2024,England,4.5,0.22222,0.19247,0
fifa,euros,2024,Germany,7.5,0.13333,0.11548,0
fifa,euros,2024,Spain,8.0,0.125,0.10826,1
fifa,euros,2024,Portugal,10.0,0.1,0.08661,0
fifa,euros,2024,Netherlands,13.0,0.07692,0.06662,0
fifa,euros,2024,Italy,13.0,0.07692,0.06662,0
fifa,euros,2024,Belgium,13.0,0.07692,0.06662,0
fifa,euros,2024,Croatia,21.0,0.04762,0.04124,0
fifa,euros,2024,Denmark,34.0,0.02941,0.02547,0
fifa,euros,2024,Switzerland,41.0,0.02439,0.02112,0
fifa,euros,2024,Austria,51.0,0.01961,0.01698,0
fifa,copa_america,2015,Argentina,2.5,0.4,0.34526,0
fifa,copa_america,2015,Brazil,4.0,0.25,0.21579,0
fifa,copa_america,2015,Chile,6.0,0.16667,0.14386,1
fifa,copa_america,2015,Colombia,9.0,0.11111,0.09591,0
fifa,copa_america,2015,Uruguay,11.0,0.09091,0.07847,0
fifa,copa_america,2015,Mexico,26.0,0.03846,0.0332,0
fifa,copa_america,2015,Peru,34.0,0.02941,0.02539,0
fifa,copa_america,2015,Ecuador,51.0,0.01961,0.01692,0
fifa,copa_america,2015,Paraguay,34.0,0.02941,0.02539,0
fifa,copa_america,2015,Bolivia,151.0,0.00662,0.00572,0
fifa,copa_america,2015,Venezuela,81.0,0.01235,0.01066,0
fifa,copa_america,2015,Jamaica,251.0,0.00398,0.00344,0
fifa,copa_america,2016,Argentina,2.6,0.38462,0.34542,0
fifa,copa_america,2016,Brazil,4.5,0.22222,0.19957,0
fifa,copa_america,2016,Chile,7.0,0.14286,0.1283,1
fifa,copa_america,2016,Colombia,11.0,0.09091,0.08164,0
fifa,copa_america,2016,Uruguay,11.0,0.09091,0.08164,0
fifa,copa_america,2016,Mexico,17.0,0.05882,0.05283,0
fifa,copa_america,2016,USA,21.0,0.04762,0.04277,0
fifa,copa_america,2016,Peru,41.0,0.02439,0.0219,0
fifa,copa_america,2016,Ecuador,51.0,0.01961,0.01761,0
fifa,copa_america,2016,Paraguay,51.0,0.01961,0.01761,0
fifa,copa_america,2016,Costa Rica,126.0,0.00794,0.00713,0
fifa,copa_america,2016,Bolivia,251.0,0.00398,0.00358,0
fifa,copa_america,2019,Brazil,2.6,0.38462,0.33488,1
fifa,copa_america,2019,Argentina,4.0,0.25,0.21767,0
fifa,copa_america,2019,Uruguay,6.0,0.16667,0.14512,0
fifa,copa_america,2019,Colombia,10.0,0.1,0.08707,0
fifa,copa_america,2019,Chile,11.0,0.09091,0.07915,0
fifa,copa_america,2019,Peru,17.0,0.05882,0.05122,0
fifa,copa_america,2019,Paraguay,34.0,0.02941,0.02561,0
fifa,copa_america,2019,Ecuador,51.0,0.01961,0.01707,0
fifa,copa_america,2019,Venezuela,51.0,0.01961,0.01707,0
fifa,copa_america,2019,Japan,81.0,0.01235,0.01075,0
fifa,copa_america,2019,Qatar,101.0,0.0099,0.00862,0
fifa,copa_america,2019,Bolivia,151.0,0.00662,0.00577,0
fifa,copa_america,2021,Brazil,2.6,0.38462,0.34934,0
fifa,copa_america,2021,Argentina,4.0,0.25,0.22707,1
fifa,copa_america,2021,Uruguay,7.0,0.14286,0.12975,0
fifa,copa_america,2021,Colombia,11.0,0.09091,0.08257,0
fifa,copa_america,2021,Chile,11.0,0.09091,0.08257,0
fifa,copa_america,2021,Peru,17.0,0.05882,0.05343,0
fifa,copa_america,2021,Paraguay,29.0,0.03448,0.03132,0
fifa,copa_america,2021,Ecuador,34.0,0.02941,0.02671,0
fifa,copa_america,2021,Venezuela,81.0,0.01235,0.01121,0
fifa,copa_america,2021,Bolivia,151.0,0.00662,0.00602,0
fifa,copa_america,2024,Argentina,2.5,0.4,0.33933,1
fifa,copa_america,2024,Brazil,4.5,0.22222,0.18852,0
fifa,copa_america,2024,Uruguay,7.5,0.13333,0.11311,0
fifa,copa_america,2024,Colombia,9.0,0.11111,0.09426,0
fifa,copa_america,2024,USA,13.0,0.07692,0.06526,0
